SHAPE_AREA,LATITUDE,SQMI,GEOMETRY,CITY,OBJECTID,ZIPCODE,LONGITUDE,STATE,SHAPE_LENGTH
26904043675.8584,,885.0600000000001,,Ovando,20159,59854,,MT,964522.7991618626
9321971.59765625,,0.31,,Pablo,20160,59855,,MT,14192.72775745629
2079472.3671875,,0.07,,Paradise,20161,59856,,MT,7557.8819110144395
33495049979.05957,,1113.52,,Philipsburg,20162,59858,,MT,1187522.5074015292
33985335984.191406,,1113.92,,Plains,20163,59859,,MT,1844353.6712340338
13795990597.451172,,451.42,,Polson,20164,59860,,MT,891781.8404759604
272990091.7167969,,8.98,,Ravalli,20165,59863,,MT,71857.36234611619
5778762300.027344,,189.51,,Ronan,20166,59864,,MT,581708.2031518468
5039445696.083984,,165.63,,Saint Ignatius,20167,59865,,MT,466516.1589934428
11705668096.38086,,384.72,,Saint Regis,20168,59866,,MT,865087.5539946285
1385495171.3867188,,45.49,,Saltese,20169,59867,,MT,233084.63082687542
10725965328.637695,,353.03000000000003,,Seeley Lake,20170,59868,,MT,695386.6554871367
8055440187.074219,,267.16,,Stevensville,20171,59870,,MT,594904.911701925
8403699264.998047,,280.5,,Sula,20172,59871,,MT,618858.4308693435
16425461930.283203,,541.34,,Superior,20173,59872,,MT,881661.9596911445
14333415865.289062,,469.53000000000003,,Thompson Falls,20174,59873,,MT,1131404.884753106
11887373959.052734,,388.48,,Trout Creek,20175,59874,,MT,994885.2275072556
3859630272.9179688,,128.14000000000001,,Victor,20176,59875,,MT,381566.578116989
68017230068.55957,,2216.4900000000002,,Kalispell,20177,59901,,MT,2362645.7855523047
779443309.203125,,25.490000000000002,,Big Arm,20178,59910,,MT,180791.6900244265
15431276980.78711,,504.18,,Bigfork,20179,59911,,MT,797452.953893579
3514799480.794922,,114.12,,Columbia Falls,20180,59912,,MT,428009.56936287857
113903587.26953125,,3.7,,Coram,20181,59913,,MT,54003.164024454374
187176128.68554688,,6.11,,Dayton,20182,59914,,MT,93097.45248170017
297582952.8125,,10.31,,Joliet,20183,60435,,IL,134158.50892380174
595445221.6953125,,20.64,,Joliet,20184,60436,,IL,195493.820251126
471678091.4765625,,16.38,,Kinsman,20185,60437,,IL,111665.69964382095
221446527.7734375,,7.67,,Lansing,20186,60438,,IL,77440.10841751806
890682107.3125,,30.82,,Lemont,20187,60439,,IL,213219.9115701764
465513962.4453125,,16.11,,Bolingbrook,20188,60440,,IL,129325.73978508651
878376682.6328125,,30.41,,Lockport,20189,60441,,IL,286638.16386271577
1913176662.2421875,,66.34,,Manhattan,20190,60442,,IL,261479.33878574838
355833265.21875,,12.33,,Matteson,20191,60443,,IL,121291.63263356978
1304822066.9609375,,45.29,,Mazon,20192,60444,,IL,198491.40022299057
139806866.265625,,4.84,,Midlothian,20193,60445,,IL,92114.93871599155
580370870.234375,,20.09,,Romeoville,20194,60446,,IL,207208.8623824015
948946416.4765625,,32.74,,Monroe Center,20195,61052,,IL,192495.10102450714
3373394460.1328125,,116.36,,Mount Carroll,20196,61053,,IL,388649.58402259735
1169034959.3125,,40.34,,Mount Morris,20197,61054,,IL,208903.03426743828
26178990.640625,,0.9,,Nora,20198,61059,,IL,24073.255024600196
1068018175.7421875,,36.75,,Orangeville,20199,61060,,IL,190868.76039706552
3212789733.8203125,,110.92,,Oregon,20200,61061,,IL,427152.8732704308
2271045986.5078125,,78.26,,Pearl City,20201,61062,,IL,245716.20822073575
2366099425.0625,,81.5,,Pecatonica,20202,61063,,IL,323393.79106974485
2941442802.578125,,101.56,,Polo,20203,61064,,IL,352095.9796048665
1500510624.6484375,,52.13,,Wyoming,20204,61491,,IL,192914.98385269573
2332445065.3359375,,81.48,,Astoria,20205,61501,,IL,270829.9599203437
1094347530.78125,,38.09,,Benson,20206,61516,,IL,183800.4689812815
1978570206.8515625,,68.87,,Brimfield,20207,61517,,IL,323199.96400618757
8860487.046875,,0.31,,Bryant,20208,61519,,IL,18773.669285592896
5085083353.2265625,,177.28,,Canton,20209,61520,,IL,444612.5733118225
1729942049.875,,60.17,,Chillicothe,20210,61523,,IL,287713.7226036487
898863794,,31.29,,Dunlap,20211,61525,,IL,185568.58043496753
932881711.15625,,32.44,,Edelstein,20212,61526,,IL,231356.00660745424
585765651.6875,,20.38,,Edwards,20213,61528,,IL,120739.89455576942
1020877579.7089844,,33.36,,Elmo,20214,59915,,MT,201389.7779872682
31653217451.157227,,1024.38,,Essex,20215,59916,,MT,1299237.6140373456
18232189827.89453,,589.15,,Eureka,20216,59917,,MT,1709433.8138170794
410426107.6035156,,13.27,,Fortine,20217,59918,,MT,129210.9207222112
19317695.2734375,,0.63,,Hungry Horse,20218,59919,,MT,36445.363658247
7248432187.689453,,236.29,,Kila,20219,59920,,MT,560179.0394330852
2246677006.984375,,73.27,,Lakeside,20220,59922,,MT,309011.1218848783
53331394163.08984,,1732.42,,Libby,20221,59923,,MT,1370071.7632823852
11625953302.3125,,378.96,,Marion,20222,59925,,MT,512261.3837330642
114219578.94921875,,3.71,,Martin City,20223,59926,,MT,60682.99926423346
127870659.40234375,,4.14,,Olney,20224,59927,,MT,49399.32014794517
14950721334.554688,,483.07,,Polebridge,20225,59928,,MT,768825.1019405794
1895822488.8984375,,65.68,,Minooka,20226,60447,,IL,308171.30404285766
532903007.4375,,18.46,,Mokena,20227,60448,,IL,198414.87154303008
1464955356.109375,,50.78,,Monee,20228,60449,,IL,296066.2234932633
5119332528.0703125,,177.52,,Morris,20229,60450,,IL,409074.6346153334
786404927.1171875,,27.25,,New Lenox,20230,60451,,IL,207332.1511953697
220244926.3046875,,7.62,,Oak Forest,20231,60452,,IL,105109.51371769785
251961735.3671875,,8.72,,Oak Lawn,20232,60453,,IL,93082.02252928822
